customer_number,usia,pekerjaan,status_perkawinan,pendidikan,gagal_bayar_sebelumnya,pinjaman_rumah,pinjaman_pribadi,jenis_kontak,bulan_kontak_terakhir,hari_kontak_terakhir,jumlah_kontak_kampanye_ini,hari_sejak_kontak_sebelumnya,jumlah_kontak_sebelumnya,hasil_kampanye_sebelumnya,tingkat_variasi_pekerjaan,indeks_harga_konsumen,indeks_kepercayaan_konsumen,suku_bunga_euribor_3bln,jumlah_pekerja,pulau,berlangganan_deposito
103155,39,asisten rumah tangga,cerai,SMA,no,no,no,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,NTB,0
202655,33,sosial media specialis,lajang,Pendidikan Tinggi,no,no,yes,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,Kalimantan,0
310543,48,sosial media specialis,menikah,SMA,unknown,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,Sumatera,0
690771,30,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,Kalimantan,0
520862,36,sosial media specialis,menikah,Pendidikan Tinggi,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,Sulawesi,0
112175,40,manajer,lajang,Pendidikan Tinggi,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,Bali,0
832931,47,penyedia jasa,menikah,SMA,no,no,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,Jawa,0
944698,32,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,yes,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,NTB,0
790319,50,entrepreneur,menikah,Diploma,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,NTT,0
656657,39,manajer,menikah,SMA,no,no,no,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,Jawa,0
724992,45,teknisi,lajang,Diploma,unknown,yes,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,NTT,0
666434,38,pekerja kasar,menikah,Tidak Tamat SD,unknown,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,NTB,0
341196,44,teknisi,menikah,SMP,no,yes,yes,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,NTB,0
415787,28,manajer,lajang,Pendidikan Tinggi,no,yes,no,cellular,jul,wed,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Kalimantan,0
526573,37,teknisi,menikah,Diploma,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,Jawa,0
155869,30,penyedia jasa,lajang,SMA,no,no,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,Sumatera,0
375703,48,pekerja kasar,menikah,SMP,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Sumatera,0
787769,25,penyedia jasa,lajang,SMA,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,NTB,0
648662,42,sosial media specialis,menikah,Pendidikan Tinggi,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,Bali,0
461948,34,pekerja kasar,menikah,SMP,unknown,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Sumatera,0
211227,33,manajer,menikah,Pendidikan Tinggi,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,NTT,0
487054,57,pekerja kasar,menikah,Tidak Tamat SD,unknown,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,Jawa,0
928270,37,teknisi,lajang,SMA,no,yes,no,telephone,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,Sulawesi,0
970584,38,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,yes,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,Bali,0
661071,29,teknisi,menikah,Diploma,no,no,no,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,Jawa,0
325590,26,sosial media specialis,lajang,SMA,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,Jawa,1
209079,31,pekerja kasar,menikah,SD,unknown,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,Bali,0
189248,32,sosial media specialis,menikah,SMA,no,no,no,telephone,oct,tue,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,NTB,1
447956,26,mahasiswa,lajang,SMA,no,yes,no,cellular,aug,wed,1,14,1,success,-1.7,94.027,-38.3,0.903,4991.6,Papua,1
139819,31,sosial media specialis,cerai,Pendidikan Tinggi,no,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,Kalimantan,0
679927,48,sosial media specialis,menikah,SMP,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,NTT,0
957643,30,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,NTT,0
191481,44,teknisi,menikah,Diploma,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,NTT,0
714247,30,pekerja kasar,menikah,SD,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,Sumatera,0
830184,47,teknisi,menikah,Pendidikan Tinggi,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,Sulawesi,0
840111,45,penyedia jasa,lajang,unknown,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,Papua,0
191193,24,teknisi,cerai,Diploma,no,no,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,Sumatera,0
574220,50,pekerja kasar,cerai,SMA,no,no,no,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,Jawa,0
437073,33,penyedia jasa,menikah,SMA,no,yes,yes,telephone,jun,mon,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,Papua,0
136554,32,pengangguran,menikah,SMA,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,Jawa,1
812567,47,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Papua,0
285592,51,manajer,cerai,Pendidikan Tinggi,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,Sulawesi,0
638322,33,penyedia jasa,menikah,SMA,no,no,yes,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,Papua,0
236315,47,pekerja kasar,menikah,SMP,no,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,Kalimantan,0
260448,29,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,sep,wed,2,999,1,failure,-3.4,92.379,-29.8,0.781,5017.5,Bali,0
326136,53,pensiunan,cerai,SMA,no,no,yes,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,NTB,0
930016,51,manajer,menikah,Pendidikan Tinggi,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Bali,0
617025,56,entrepreneur,cerai,Pendidikan Tinggi,no,unknown,unknown,cellular,apr,wed,2,999,1,failure,-1.8,93.075,-47.1,1.498,5099.1,Jawa,0
649797,57,asisten rumah tangga,menikah,Tidak Tamat SD,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,Papua,1
495382,31,pekerja kasar,menikah,SD,unknown,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,Sumatera,0
711009,29,teknisi,menikah,Diploma,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,Bali,0
452912,54,sosial media specialis,cerai,SMA,no,no,yes,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,Jawa,0
618276,45,penyedia jasa,lajang,SMA,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,Kalimantan,0
469761,56,penyedia jasa,menikah,SMA,unknown,yes,no,telephone,jul,thu,11,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Jawa,0
545362,32,pekerja kasar,menikah,SD,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,NTT,0
601299,40,sosial media specialis,cerai,SMP,no,yes,yes,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Sumatera,0
619598,25,pekerja kasar,lajang,SMP,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,Sulawesi,0
650037,27,sosial media specialis,menikah,SMA,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,Sulawesi,0
232685,40,entrepreneur,menikah,SMP,no,yes,no,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,Bali,0
198132,32,penyedia jasa,lajang,SMA,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,Sulawesi,0
783142,49,sosial media specialis,cerai,SMA,no,yes,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,Jawa,0
688221,34,pekerja kasar,menikah,SMA,unknown,yes,no,telephone,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Kalimantan,0
822445,29,pekerja kasar,lajang,Tidak Tamat SD,no,yes,no,cellular,may,fri,9,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,Sumatera,0
360256,31,teknisi,menikah,Pendidikan Tinggi,no,yes,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,NTT,0
310232,37,pekerja kasar,menikah,SD,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,Sulawesi,0
370034,38,pekerja kasar,menikah,Diploma,no,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,Sumatera,0
624716,44,penyedia jasa,menikah,SMA,no,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,Kalimantan,0
691795,34,entrepreneur,menikah,Diploma,no,yes,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,Kalimantan,0
455526,46,pemilik bisnis,menikah,SMP,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Jawa,0
179391,30,pengangguran,menikah,SMA,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,Bali,0
960357,42,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,Jawa,0
576130,43,sosial media specialis,cerai,SMA,no,yes,yes,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,Bali,0
810702,38,unknown,menikah,unknown,no,yes,no,cellular,aug,thu,10,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,NTB,0
959287,54,sosial media specialis,menikah,Pendidikan Tinggi,unknown,yes,no,telephone,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,NTB,0
617908,52,pensiunan,menikah,Pendidikan Tinggi,no,no,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,Jawa,0
365511,36,pekerja kasar,menikah,unknown,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,Sumatera,0
769161,29,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,yes,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,NTT,1
164733,50,sosial media specialis,menikah,SMA,no,no,no,cellular,nov,wed,3,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,Sumatera,0
742597,28,pekerja kasar,menikah,SMP,unknown,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,NTB,0
825715,24,penyedia jasa,lajang,SMA,no,yes,yes,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,NTB,0
678732,42,sosial media specialis,menikah,Diploma,no,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,Bali,0
796579,45,pekerja kasar,menikah,SMA,no,no,no,telephone,jun,wed,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,NTT,0
610922,57,manajer,menikah,Pendidikan Tinggi,no,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,NTT,0
682905,42,penyedia jasa,menikah,SMA,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Kalimantan,0
486135,31,sosial media specialis,lajang,Pendidikan Tinggi,no,no,yes,cellular,nov,wed,2,3,6,success,-1.1,94.767,-50.8,1.048,4963.6,NTT,0
934800,26,penyedia jasa,lajang,Pendidikan Tinggi,no,yes,no,cellular,jul,wed,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,NTT,0
504265,25,asisten rumah tangga,menikah,SMP,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,Papua,0
288999,25,mahasiswa,lajang,SMA,no,yes,no,cellular,nov,mon,3,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,Sulawesi,0
916383,49,pekerja kasar,menikah,Tidak Tamat SD,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,NTT,0
113508,46,manajer,menikah,Pendidikan Tinggi,no,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Jawa,0
897735,36,sosial media specialis,menikah,Diploma,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,Jawa,0
644196,35,pengangguran,cerai,Pendidikan Tinggi,no,no,no,cellular,apr,tue,1,999,1,failure,-1.8,93.075,-47.1,1.453,5099.1,NTB,0
488917,28,pengangguran,lajang,SMA,no,no,yes,cellular,may,tue,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,NTT,0
164537,57,manajer,cerai,Pendidikan Tinggi,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,NTB,0
740192,33,manajer,lajang,Pendidikan Tinggi,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,Papua,0
480373,40,sosial media specialis,menikah,SMP,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,Bali,0
830804,34,teknisi,lajang,Pendidikan Tinggi,no,no,no,telephone,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,Jawa,0
655838,45,manajer,menikah,Pendidikan Tinggi,no,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,Papua,0
606619,52,sosial media specialis,menikah,Pendidikan Tinggi,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.677,5008.7,NTT,0
247752,47,pekerja kasar,cerai,Tidak Tamat SD,no,no,yes,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,Sumatera,0
155400,31,pekerja kasar,lajang,SMA,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,NTT,0
961348,44,pekerja kasar,cerai,SD,unknown,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,Kalimantan,0
144309,34,sosial media specialis,menikah,SMA,no,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,Papua,0
531924,23,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,jul,wed,1,999,2,failure,-1.7,94.215,-40.3,0.881,4991.6,NTB,0
413679,57,pensiunan,menikah,SMA,unknown,yes,yes,cellular,aug,wed,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,Papua,0
712858,57,unknown,menikah,unknown,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Papua,0
316448,44,pekerja kasar,lajang,SMP,no,yes,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,Sumatera,1
654013,36,asisten rumah tangga,menikah,SMA,no,yes,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,Sumatera,0
548637,47,pekerja kasar,menikah,Diploma,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,-2.9,92.469,-33.6,1.059,5076.2,Papua,1
705165,43,teknisi,cerai,unknown,no,no,no,telephone,may,wed,9,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Kalimantan,0
924228,50,manajer,menikah,Pendidikan Tinggi,no,no,no,cellular,aug,tue,3,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,Papua,0
929608,45,sosial media specialis,menikah,unknown,unknown,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,Jawa,1
545081,28,mahasiswa,lajang,unknown,no,no,no,cellular,aug,thu,4,999,1,failure,-2.9,92.201,-31.4,0.829,5076.2,Papua,1
573004,24,pekerja kasar,menikah,SMP,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,Papua,0
249263,34,entrepreneur,lajang,Pendidikan Tinggi,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Kalimantan,0
278194,40,teknisi,menikah,Diploma,no,no,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,Sulawesi,0
698419,30,sosial media specialis,lajang,Pendidikan Tinggi,no,yes,no,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,Jawa,0
355961,55,pekerja kasar,menikah,Tidak Tamat SD,unknown,yes,yes,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,Kalimantan,0
860305,38,sosial media specialis,lajang,unknown,unknown,no,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,Jawa,0
835886,57,manajer,menikah,Pendidikan Tinggi,unknown,no,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,Sulawesi,0
954181,34,sosial media specialis,lajang,Pendidikan Tinggi,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,Papua,0
838177,32,pemilik bisnis,menikah,SMP,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,Kalimantan,0
447530,58,penyedia jasa,menikah,SMA,no,no,no,cellular,mar,mon,2,3,1,success,-1.8,93.369,-34.8,0.635,5008.7,Jawa,1
606782,51,sosial media specialis,menikah,SMA,no,no,no,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,Sulawesi,0
933438,41,teknisi,menikah,Diploma,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,NTB,0
228475,34,penyedia jasa,menikah,SMA,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,Jawa,0
167970,40,pensiunan,menikah,Diploma,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Sumatera,0
529586,40,pekerja kasar,menikah,SMP,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,Papua,0
198870,38,teknisi,lajang,Diploma,no,yes,yes,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,Jawa,0
157540,45,pekerja kasar,lajang,SMA,unknown,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,Jawa,0
464277,37,penyedia jasa,menikah,SMA,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,NTB,0
695408,32,penyedia jasa,lajang,unknown,unknown,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,Bali,1
106993,44,pengangguran,menikah,SMA,no,yes,no,telephone,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,Kalimantan,0
597106,40,pekerja kasar,menikah,SMA,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,Kalimantan,0
826198,49,sosial media specialis,menikah,Pendidikan Tinggi,unknown,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,Papua,0
465493,45,teknisi,menikah,Diploma,no,yes,no,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,Sulawesi,0
436438,34,sosial media specialis,cerai,Pendidikan Tinggi,no,no,yes,cellular,apr,mon,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,Sumatera,0
442437,27,pekerja kasar,lajang,SMA,no,no,no,cellular,nov,tue,2,8,2,failure,-3.4,92.649,-30.1,0.715,5017.5,Bali,1
815881,31,pemilik bisnis,menikah,Tidak Tamat SD,unknown,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,Bali,0
271648,39,manajer,menikah,SMA,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,Jawa,0
652909,49,pekerja kasar,menikah,SMP,no,no,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,NTT,0
289767,40,sosial media specialis,menikah,Pendidikan Tinggi,no,no,no,cellular,jun,tue,1,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,Sulawesi,0
396739,37,pengangguran,lajang,Pendidikan Tinggi,no,no,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,Papua,0
696623,44,manajer,lajang,Pendidikan Tinggi,unknown,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,NTT,1
735524,36,pekerja kasar,menikah,SMP,no,yes,no,telephone,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,Sulawesi,0
159716,34,teknisi,lajang,Diploma,no,yes,no,cellular,mar,fri,1,999,0,nonexistent,-1.8,92.843,-50.0,1.726,5099.1,Sulawesi,1
531389,45,pemilik bisnis,menikah,Tidak Tamat SD,no,unknown,unknown,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,NTB,0
627606,48,teknisi,menikah,Diploma,no,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,Papua,0
678633,47,sosial media specialis,menikah,Pendidikan Tinggi,no,yes,no,telephone,jun,tue,9,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,Kalimantan,0
682505,57,manajer,menikah,Pendidikan Tinggi,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,Bali,0
